,predicted,sentiment,text,textID
249,neutral,negative,"_The_Moon Hiya hun! It`s just not my day. Dentist appointment (ouch!),notebook being a ****. Feeling sick  How`s you?",ac00adda49
250,neutral,negative," but i do emily ahahha you scare me, so it would work",cf9dc7479a
254,neutral,positive,should not have waled past the Quad! I want to be outside having fun.,af0778ed50
256,neutral,negative,i think the food i ate made me sick.. i no feel so good,1e6f72ea44
257,negative,neutral, eagerly anticipating twitpics,cc930f7aa8
258,neutral,positive,"Lots of tasks to complete today. First, wecloming new members to Canadamigos Social Networking site, www.canadamigos.com, and coffee",9c202174a3
259,neutral,negative,Just wants to stay in bed all day but has to go to work instead  sux,b9a1df7a8a
260,neutral,positive,chillen trying to figure this thing out gettin drunk,7b3132d3cc
262,neutral,positive,Filming at a carnival for my music video... It reminds me of the Cherry Festival that I used to go to back home... Ahhh memories...,f008d91039
263,neutral,negative,I`m siiiiiickkk  I dun feel good!!,c223721eed
264,neutral,positive, Propellerheads has been on my harddrive for a long while. Just got my music repo back in shape this WE and felt nostalgic,7f8a3308f8
265,neutral,positive,Glorious sunny day in London town.. I`m in drama school fighting people with swords while protecting my romantically structured face,3f7adda0a4
266,neutral,negative,_89 I feel so sorry for her  hope she dnt cry 2nd time,6c60cf0bb2
267,neutral,negative,would wish the severe migrains would stop!!! doc`s prescriptions arent working,f77651be05
268,neutral,positive,"09/09 +full moon+ my lovely friends and family= my b-day wish came true;)<3 In addition,gray matters is one of the cutest movies ever!!",aff740a028
269,neutral,negative,My Life Would Suck Without You - Kelly Clarkson,c3f1116734
271,neutral,positive," you should so host the next logies, i only laughed at your bit really",cb4266c560
273,neutral,positive,__joy i feel like red lea now,f61b40624e
276,neutral,negative,thinks revising in the garden from 8 this morning without sunscreen isnt the best idea ive had  oucccccccch,fbea09d42d
278,neutral,positive, i know they are delicious.miss germany but like holland as well as we used to shoppin there at weekends.lol,2452a0aa6a
279,neutral,positive," LOL, very true. Maybe next year. I loooved that siggy, and I don`t remember what the password for the mod thing was  Cake?",8a821c6d63
281,neutral,positive, Hope you did great - you certainly spent enough time studying.,dd655c5aee
283,neutral,negative,Straighening my hair and its not going as straight as i want it to be what a  bummerrr for me,61e8b484df
284,neutral,negative," I need botox work on the lips if I`m going to change my name to Angelina Jolie, but it`s a thought! Sad though about the racism",5be41389ce
286,neutral,positive,Morning all! Have a GREAT DAY! Off to school I go,772ba56ce6
288,neutral,positive, congrats! Photo of dre?,4a680661d5
289,neutral,positive,"#SanctuarySunday  thanks for joining on #SanctuarySunday, follow more Sanctuary people to keep up to date on the tweets!",e2505e6219
290,neutral,positive,"Done at Disneyland, kid`s knocked out, stopped by the hotel bar and grabbed a grey goose & tonic on the way up...peace",0d85e6d515
292,neutral,positive," Oh, and a very good review",9c99cd9396
293,neutral,negative,_MileyCyrus it wont let me do it twitter keeps saying over twitter capacity or something that bird keeps coming up.,f35cc8bb35
294,neutral,negative,I`m extremely hungry.... and the only thing I have in my house is Soup...  I don`t like soup... *pouts*,5ba64af2fd
296,neutral,positive, I love the guy that was standing behind me,8b6c53f38b
297,neutral,positive,Bout to hit the sack...got **** to do tomorrow. Happy mothers day MOM!,e8cb7f18bd
298,neutral,negative,lost my DC hat ..,9ea273deaa
305,neutral,positive, I am soo excited about your pasadena seminar...if only i can find the confermation email,8be2d4f69f
307,neutral,negative,I want a new phone  I`ve seen too much cellphone commercials (,90be8eaffb
308,neutral,negative, we`ll test that theory  with no right arm to strum with.  Got a feelin I`ll be humming my new tunes for a while,8ba332dbbd
309,neutral,positive, http://twitpic.com/4vuuy - That`s so cool.,1086c26e82
311,neutral,positive,  tis very useful indeed esp. for newbies like me!,0050eebd18
317,neutral,positive, yup!  Now I can join in on the nin access fun!,a2bbae6c4c
319,neutral,negative, unfair  I wanna go too.,b3505b0aa7
320,neutral,positive,Download movie  'A Good Day to Be Black &#38 Sexy' http://tinyurl.com/ckmkul cool #movie,99fcc18a8d
321,neutral,negative,Jus got back from a run up sunset blvd! My cuzin tried to kill me my legs are still movin and I`m sittin down!!,2b6bc6920b
322,neutral,negative," Aww, that`s sad.  I miss seeing you guys on the big screen.",d40dd3b17b
324,neutral,negative," eeeeep so jealous ;) I`m at work  um, how can u receive Viva? Do they broadcast it online? :plz:",7dd57c2598
326,neutral,positive, the hotel should be thankful,f4aba8da1c
327,neutral,negative,"Watching GH. I feel so bad for Carly.  OMG, so **** up.",9cf9045a3c
328,neutral,positive, rofl that`s what we like to hear,1962095a32
329,neutral,negative,"Ok I`m frustrated, there is hella dust between the screens of my blackberry",9acf7846ab
330,neutral,negative,IS ANYONE AWAKE?!?!?!?! oh my god i am dying here. i want to go to SLEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEP. :[,e4d58eb70f
335,neutral,negative,at work getting a quick bite to eat before having to kill my wrist self addressing 500 envolopes,a717783c80
336,neutral,negative,Arghhhhhhhhh... i can`t keep up with these TwitterBones peeps,5a2add1cd8
338,neutral,positive,making german apple slice  nom nom nom,54a3eab849
342,neutral,negative,Anybody else experiencing painful slowdowns with facebook?,3cd447856a
345,neutral,negative,The poor Pirate had out his last wisdom tooth and is looking really peaky.,b09f14d65a
346,neutral,positive,Mozzer cancelled tonight by the looks of it.,3160620b36
347,neutral,negative,"waiting for aaron to get into town, and then leave him for work. booo",b2e3ebc647
351,neutral,positive,is going to bed soon. happy mothers day to all the mothers  <333 ryan less than 3 weeks :],8746563ae3
352,neutral,negative,"bored bored bored! wish i had something to do tomorrow, especially with the weather we`re to have!  not fair",01fb29c047
353,neutral,negative, well even with her breakdown she was better than the other acts unfortunately! Britain`s got very little talent,065e4c2dba
355,neutral,negative," Sadly, I can`t view that site due to region restrictions",d0c092c3ee
356,neutral,negative,"It`s 20:50 hs and i`m still at the office...really tired,wanna go home!",ed92ed183a
357,neutral,positive,Aly & AJ new album this summer. YAY!,75d0302de7
358,neutral,positive,_day26 ~ Awwwww have fun with the fam boo boo,96c5092f80
359,neutral,positive,@ lovelytrinkets I like the way you worded that about Rocky Road,ddbc8dba62
360,neutral,positive,Mexican coca cola in a bottle. New favorite thing.  No high fructose corn syrup....  sugar is so awesomely old school.,80b61dc4e6
361,neutral,negative,Got people don`t let me skip sci pratical becos skola is impt and dont waste my parents money.  Nt fair.,37897b1693
365,neutral,positive, Thanks for the hint.  http://tinyurl.com/chtx7e.,bebfd966a0
366,neutral,positive," u welcome babe, kill the show! Yuuupp!",bebcdc05ad
368,neutral,negative, I was never a good stereotypical teen,25c3c99b1a
374,neutral,positive,i have problems wih pizza..ii love it too much..i`m so addicted to pizza  and Dot Dot Curve. >,ab3f55a84d
376,neutral,positive,had a lovely breakfast with mum...yummy pancakes,80ea9ba96f
378,neutral,positive, Why thank you... Us Mami`s are bringin` sexy back...,33bb4fcc72
380,neutral,negative,"Oh god, a moth was living in a **** power outlet!  (Actually, my PowerSquid.)",351d279fba
384,neutral,positive,"I love  very much  I called him, but he was talking to other fans  I love you a lot Mitchel! I`ll see u in El Cajon. June 7",8997a62a75
385,neutral,negative,I misses my bed  so sleepy!,bce5834e03
386,neutral,positive,"Woo! Two days till awesome gig, one day till Uni is finished for 12 days  #gigs #3yp",a9b9f7a878
389,neutral,negative,Just found mj mouse flats at DJs. Of course there are none left in my size,5fcaa99ec8
390,neutral,negative,I`m dreading hearing even worse news tonight,3dfd82c60f
392,neutral,positive,haappy bank holiday  2 weeeeks. aah!,bab04dc463
396,neutral,positive,says my new layout is so cute x) see the cuties ? hahahah  http://plurk.com/p/suqp6,64b297c15e
397,neutral,positive," Good night, Rob. Sleep well. Safe travels tomorrow!",bc1fbaf4a1
398,neutral,negative, i know i suck.  my data plan is weak sauce.,f59d8d766f
401,neutral,negative, dear oh dear.....,97e53162ff
403,neutral,negative,playing at my old school playground still the same except them lame **** got rid of the tire swing,15c531b290
404,neutral,positive,happy mommah`s day to your moms  http://plurk.com/p/stqya,23efa13d7c
406,neutral,positive," Lol - I could have written that - would be good to have 2 Mondays this week, then I might catch up x",29ed43caca
408,neutral,positive, Cant wait for DTE in Michigan this summer you guys are great look for me in the customized NKOTB Track Jacket,94e0c7c638
409,neutral,negative, nope i have a fifth generation ipod classic  it likes to be dumb,6114b48cb9
410,neutral,negative, meetings are overrated.,32463a2751
411,neutral,positive, I love the smell of procrastination in the morning... oder so.,65ed990460
412,neutral,negative, I considered being a nurse when I was younger but I really don`t think I could cope if a baby died,505f50a90d
413,neutral,positive, I know.  I am definitely going to try and see Up this weekend.,481e268403
415,neutral,negative,Oh No!!!! I must be gettin old!!!! My mom use to watch this show....I miss her,52ad93b3fe
416,neutral,positive," lol that just totally made me laugh, which made my day",e892068fd3
417,neutral,positive,tonight was fun,226adfd977
419,neutral,positive,Good morning!  Just took the longest shower ive ever taken in my life. Like 45 to 50 min shower!! Woah. lol,d7b1ac80c4
424,neutral,negative,"Allergies  sun is out, wearing shorts.  Stuck with my advisory the whole day.... This should be boring. Except fun. If people make it fun?",0693a85163
428,neutral,positive,Good  morning! Just went to bed it feels and already morning...goes fast! Now i am going to the gym soon. Have a nice day!,3d1184dabd
430,neutral,negative,no internet for a week or longer,a25ccabf06
431,neutral,negative,Jesus Christ meadowhall could do with better air con! Too hot,9b3fcf1668
433,neutral,positive, I sure she can,86c20cf6ee
438,neutral,positive, i want to gooo,58f1b52257
439,neutral,negative,evryone come here http://www.blogtv.com/People/GinaNicole2 were spamming so much and blogtv is glitching and it might work,32489d483d
440,neutral,positive,Ready for tomorrow. My mommy will get her gift for Mother`s Day. Hope she LOVES it!,00d907ce33
441,neutral,negative,Ugh fun concert  screen cracked on phone again because it fell... =\,a7f2db128a
444,neutral,positive, can`t wait to hear the evp! And cuuuute picture.,31eb8ebd2a
445,neutral,positive,Headed to verizon. Praying that pinkberry is going to make it.,4dda8fd71a
446,neutral,negative,Awaiting reply from two projects. One cancelled.,e4d6a48aa7
451,neutral,positive,"Well, Sacramento, I hope you appreciate Rivkah Sass & treat her well. I`ll be sitting here in Omaha, pouting",4c5672e236
452,neutral,positive,Leaving the beach .. Having a great day with vicente .. We needed this time together,d35f126ad0
453,neutral,negative,"Got caught in the rain. Sand Monsoon all the way home, even though i looked like a complete idiot",efdff6dde7
454,neutral,negative,just left & already misses Nashville  be back sunday,4dd3339756
456,neutral,negative," you`re a busy Bob, I`m jealous. I`m not sure I can even afford to go meet John de Lancie and Leonard Nimoy",e83b4e9bf0
457,neutral,negative,I am living in a country where the government is ALWAYS a circus show ... sad but true...,7a27c3a84d
461,neutral,positive, yep  but I`m going better now,bad6311330
463,neutral,negative,$#@! My nose stud fell out and I can`t find it  Looks like I`ll have to head into Amsterdam today and get a new one,27d6472b81
466,neutral,positive,Good morning tweeps. Busy this a.m. but not in a working way,12bb670169
468,neutral,positive, FOLLOW ME BABY U SAID N DA CHAT U WILL  LUV YA GOODNITE,8df42cd45a
470,neutral,positive,got a rad new t-shirt from my aunt. Made from some cool shiny shiny pink material.,9d6473d14d
471,neutral,positive, it was an awesome talk  find it very true that i am watching the ruby community closely,146257b271
473,neutral,positive, hahaha niene ur soo smart.! lmao i think that is who its by..  good lookin.. whts up gurlie?? i come home this weekend.!,b56108fc36
475,neutral,positive,"I hereby announce that I am... employed! Couldn`t be happier, Alhamdulillah!",c135b2cef2
476,neutral,negative,"i juz registered my cp in twitter, but my tweets wont go thru? Argh..Hmm wanna follow my idols lyk  away from the PC..",48c3502151
480,neutral,positive," Glad to hear you made it out, I hear that place used to be it`s own country  Looking forward to your arrival!",819626535b
482,neutral,negative,So many farewell parties! sad to see people leaving ..,89d9167173
483,neutral,negative, - Still a pity it comes with no lamb though,dd911923ea
485,neutral,positive,"TAKE THAT, TAKE THAT!!!! IN YOUR FACES!!!!!!!!!!!!  Robbie won!",403847cf44
486,neutral,positive, no other reason? I wonder if she loves you,dad1d09bfb
489,neutral,negative,feels ..my cousin is a monkey  http://plurk.com/p/x23pa,5a42a51462
492,neutral,negative,Don`t you hate it when you`re left with one slice of bread left in the bag? Half sandwich.,2813c4cf7e
493,neutral,positive,Loves random acts of kindness and laughter,2246ed3d84
494,neutral,positive,"Gha, off to work - hopefully traffic has cleared up by the time I get there!!",1b1243d0b5
495,neutral,positive,Just watched another episode of JONAS. Is it better than Hannah Montana? Very much true!,09042bf466
496,neutral,positive,Going to meet the new family I`m babysitting for... Wish I was still sleeeeping,40e3087f9c
497,neutral,negative, Hi Heather. I dont know why... but I just saw your messages from April!! Have not been very twitter friendly...,ad94e8b662
500,neutral,negative, I know right  Poorpoor girl! It shows why they shouldn`t put young people in competitions like this though (.....) -,7516f86838
502,neutral,positive," wowie wooie someone updated their twitter without me having to remind you. I`m not even mad,I`m impressed.  how was the lasagna ?",9aa7d6a58a
503,neutral,positive,Today is another good day for some less extreme experiences... Anyone a fan of #24? I`m watching season 4 now,083e4f782b
504,neutral,negative," i was going tonight, but you never wrote me back with the info  im sososo sad...",ba5e02305b
505,neutral,negative, still not 100%    im sick of being sick!,9f4bb12e13
507,neutral,negative,wat a stressful week i jus hope everything falls into place 4me,ae285917c7
508,neutral,negative,with hubby at the dentist ready to hold his hand  and getting nervy about potentially buying a car tomorrow,5575fdaf3c
509,neutral,positive,Aww I got to see my 1st grade teacher`s last day before she retired,af3fbd5681
510,neutral,negative," For sure you should continue to Tweet WHILE on conf call, WHILE worrying about cat and bee.",db7211afbf
511,neutral,negative,"LOL! Made a huge mess of my school shirt, was using charcoal sticks in 2D art",23602f214f
513,neutral,negative,BGT made me cry tonight,f02eed05d0
514,neutral,negative,"gawww, why is facebook being so slow?",ff7126ea72
515,neutral,positive, im cool  cant wait to hear these stories xoxo,567ef8c2ed
517,neutral,positive,Also I was conviced to do a happy dance and then told it was the most adorable happy dance ever,d6bd94911e
519,neutral,positive,i feel in love with pizza girl... now i eat pizza everyday,a6623df1a6
520,neutral,positive, 11 30s way early! anyway nigth night  love you!,34409c9b8a
521,neutral,negative," If i say PLEASE REPLY TO ME DOUGIE, will you do it? I double dare you",6a36ea6690
524,neutral,positive," MUAHAHAHHAHAHA...   well, maybe they think I`m crazy or something. I haven`t scared  yet though",b09824d000
526,neutral,positive,today got her POP! t-shirt & lovess ittt  haha x,5e5cb6d0a9
528,neutral,positive,"Perfect night. Best month of my life so far!! You my boo, ",4de0e1bb73
529,neutral,positive, yayy  you`ll can help me im doing my english homeworks which i had to do during the holidays >.<,9a6736745f
530,neutral,positive, hi ya demi! im glad ur back   http://twitpic.com/4vuuy i personally love the picture! haha,8d40f9e62d
531,neutral,negative," Think you should do a tour in England, we dont got to see any aweomse people !!",727e51734b
534,neutral,negative,Is bummed out...i don`t have even one testimonial on Flickr.,80b171ef7a
536,neutral,positive,yeah so Prom Night is now the Craft (good movie),4809e143db
538,neutral,negative, don`t go to logan square we`re pretty sure the shirt isn`t there  1 more philly local tmrw,c50f940f43
540,neutral,positive,"    I am sending healthy, healing thoughts in the mumborg`s direction.",27c4e1f089
541,neutral,positive,"Not at prom. Ha! Chinese, iced chai, and some old school pokemon. Good night",9965c5a810
543,neutral,positive,"Went on a short flight around the Geelong waterfront.  Surprised at how well I handled it, as I`m still exhausted from last weeks meetup",6c0bac4f19
544,neutral,positive,": I`ll keep y`all in my prayers but welcome back to TX  Hope you have a good,safe flight",e692bbaf63
545,neutral,negative,Good morning scary world!,365974d586
546,neutral,positive,"is back at working auditing away, time to make the hard decisions and be happy",32db5fc0a5
547,neutral,positive, - ummmm. no comment. LOL. I actually have not watched GH in about a week.,600c58d8b3
551,neutral,positive, <3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,3aa450d12d
552,neutral,positive, Thankfully that face only shows up for photoshoots,10ad2966fa
553,neutral,positive," Don`t worry, the bizarre will find you",96b3a98962
557,neutral,positive,Extremely happy to see my new track 'The Awakening' featured on Indivibe   http://www.indivibe.com/vibe.php?city=1,67d5b57919
561,neutral,negative,"God, why can`t I be at #asylum? Really. I never get to do anything cool!",dbe35b6a0d
563,neutral,positive,"working on mothers day slideshow, cake, card, and balloons  she deserves the best!",b1cec36547
567,neutral,positive," - You too, thanks for completing  Calvin Appreciated",1c68a5f609
568,neutral,negative,"Morning everyone sorry for going early last night had bad news, felt totally ****   Today is a new day",b9a6b682b2
570,neutral,positive, Hahah! That was the best! Thank god for Terry he was laughing so hard. I miss him   I remember racing trucks with him that ...,84fd3611d6
572,neutral,negative, KILL IT JASMINE! Haven`t talked to you for ages.,f9bdd41842
573,neutral,positive,got an awesome hair cut todayyyy  it looks so hottt haha doing homework,13c47e9bc8
575,neutral,positive, someone`s a sweet tooth  i was dying for somethin sweet so i`ve attacked the chock coated tiny teddies all i could find lol,8645bcae50
576,neutral,negative,my apple-mouse doesn`t work on my shiny red coffee table...,b70c6bf768
577,neutral,negative," (2) in commentary  , I was with her, was sad, very sad",f67575d0e9
578,neutral,positive,Yet another good weekend with someone. Sigh. Man I like the boy..,ba93b78cfc
